prop	a	b	label
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/hardware	https://cso.kmi.open.ac.uk/topics/computer_hardware	hardware
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_operating_systems	https://cso.kmi.open.ac.uk/topics/operating_system	computer operating systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_operating_systems	https://cso.kmi.open.ac.uk/topics/operating_systems	computer operating systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_networks	https://cso.kmi.open.ac.uk/topics/computer_network	computer networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_networks	https://cso.kmi.open.ac.uk/topics/computer_communication_networks	computer networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/bioinformatics	https://cso.kmi.open.ac.uk/topics/medical_informatics	bioinformatics
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/human_computer_interaction	https://cso.kmi.open.ac.uk/topics/human-computer_interaction	human computer interaction
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/human-computer_interaction	https://cso.kmi.open.ac.uk/topics/human_computer_interaction	human-computer interaction
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/computer-aided_design	computer aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/cad	computer aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	computer aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design	computer-aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/cad	computer-aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	computer-aided design
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_system	https://cso.kmi.open.ac.uk/topics/computer_systems	computer system
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_systems	https://cso.kmi.open.ac.uk/topics/computer_system	computer systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_hardware	https://cso.kmi.open.ac.uk/topics/hardware	computer hardware
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_network	https://cso.kmi.open.ac.uk/topics/computer_networks	computer network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_network	https://cso.kmi.open.ac.uk/topics/computer_communication_networks	computer network
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_communication_networks	https://cso.kmi.open.ac.uk/topics/computer_networks	computer communication networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/computer_communication_networks	https://cso.kmi.open.ac.uk/topics/computer_network	computer communication networks
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/operating_system	https://cso.kmi.open.ac.uk/topics/computer_operating_systems	operating system
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/operating_system	https://cso.kmi.open.ac.uk/topics/operating_systems	operating system
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/operating_systems	https://cso.kmi.open.ac.uk/topics/computer_operating_systems	operating systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/operating_systems	https://cso.kmi.open.ac.uk/topics/operating_system	operating systems
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer_aided_design	cad
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer-aided_design	cad
http://cso.kmi.open.ac.uk/schema/cso#relatedEquivalent	https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	cad
