t	dbpedia
https://cso.kmi.open.ac.uk/topics/computer_science	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/artificial_intelligence	http://dbpedia.org/resource/Artificial_intelligence
https://cso.kmi.open.ac.uk/topics/robotics	http://dbpedia.org/resource/Robotics
https://cso.kmi.open.ac.uk/topics/computer_networks	http://dbpedia.org/resource/Computer_network
https://cso.kmi.open.ac.uk/topics/bioinformatics	http://dbpedia.org/resource/Bioinformatics
https://cso.kmi.open.ac.uk/topics/software_engineering	http://dbpedia.org/resource/Software_engineering
https://cso.kmi.open.ac.uk/topics/information_technology	http://dbpedia.org/resource/Information_technology
https://cso.kmi.open.ac.uk/topics/data_mining	http://dbpedia.org/resource/Data_mining
https://cso.kmi.open.ac.uk/topics/information_retrieval	http://dbpedia.org/resource/Information_retrieval
https://cso.kmi.open.ac.uk/topics/computer_programming	http://dbpedia.org/resource/Computer_programming
https://cso.kmi.open.ac.uk/topics/human_computer_interaction	http://dbpedia.org/resource/Human_computer
https://cso.kmi.open.ac.uk/topics/human-computer_interaction	http://dbpedia.org/resource/Human–computer_interaction
https://cso.kmi.open.ac.uk/topics/computer_aided_design	http://dbpedia.org/resource/Computer-aided_design
https://cso.kmi.open.ac.uk/topics/computer-aided_design	http://dbpedia.org/resource/Computer-aided_design
https://cso.kmi.open.ac.uk/topics/computer_security	http://dbpedia.org/resource/Computer_security
https://cso.kmi.open.ac.uk/topics/theoretical_computer_science	http://dbpedia.org/resource/Theoretical_computer_science
https://cso.kmi.open.ac.uk/topics/computer_systems	http://dbpedia.org/resource/Computer
https://cso.kmi.open.ac.uk/topics/internet	http://dbpedia.org/resource/Internet
https://cso.kmi.open.ac.uk/topics/computer_hardware	http://dbpedia.org/resource/Computer_hardware
https://cso.kmi.open.ac.uk/topics/software	http://dbpedia.org/resource/Software
https://cso.kmi.open.ac.uk/topics/computer_network	http://dbpedia.org/resource/Computer_network
https://cso.kmi.open.ac.uk/topics/computer_communication_networks	http://dbpedia.org/resource/Computer_network
https://cso.kmi.open.ac.uk/topics/operating_system	http://dbpedia.org/resource/Operating_system
https://cso.kmi.open.ac.uk/topics/operating_systems	http://dbpedia.org/resource/Operating_system
https://cso.kmi.open.ac.uk/topics/image_segmentation	http://dbpedia.org/resource/Image_segmentation
https://cso.kmi.open.ac.uk/topics/subtraction_technique	http://dbpedia.org/resource/Subtraction
https://cso.kmi.open.ac.uk/topics/numerical_analysis%2C_computer-assisted	http://dbpedia.org/resource/Numerical_analysis
https://cso.kmi.open.ac.uk/topics/manifold_learning	http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction	http://dbpedia.org/resource/Dimensionality_reduction
